language,entropy_bits
typescript,5.411277260980869
cpp,5.356518729140231
c,5.149432725541822
go,4.9156841864905125
c_sharp,4.888648427989063
javascript,4.755049114146379
java,4.552227061720145
scala,4.474448491379884
ruby,4.30281998067272
python,4.010350323654716
